Domain,IP,Server,Tag
t5kfgfm1.stgsolar.hu,188.114.97.3,cloudflare,ClearFake
sybxhd9s.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
gzxrgq4a.saostar.biz,172.67.134.94,cloudflare,ClearFake
pbm280yc.sieulike.biz,104.21.51.211,cloudflare,ClearFake
81729sv5.stgsolar.hu,172.67.137.163,cloudflare,ClearFake
e0vt7hv0.saostar.biz,104.21.25.160,cloudflare,ClearFake
x2jjzvnd.dichvuff.com,188.114.97.3,cloudflare,ClearFake
ouqk5pur.dvfb-vn.com,172.67.186.1,cloudflare,ClearFake
fxxqmo5b.letrungkien.info,188.114.97.3,cloudflare,ClearFake
45cbh9h6.liketudong.biz,188.114.96.3,cloudflare,ClearFake
b53jdkck.photoshopvn.net,172.67.212.201,cloudflare,ClearFake
qiwiqfdb.botvn.net,172.67.153.237,cloudflare,ClearFake
czf2txr8.asion.gr,188.114.97.3,cloudflare,ClearFake
5pfvza4o.cretasoft.gr,104.21.6.20,cloudflare,ClearFake
37d389gt.botvn.net,104.21.12.238,cloudflare,ClearFake
www.fdgv456.christmas,N/A,cloudflare,New WebDAV
kc7s4uri.padelconstruct.hu,104.21.6.86,cloudflare,ClearFake
www.dfhvcb435d.christmas,N/A,cloudflare,New WebDAV
www.vcn435fdg.christmas,N/A,cloudflare,New WebDAV
rwxe9b0g.riherino.com,188.114.97.3,cloudflare,ClearFake
h89kbhtt.schleer.hu,188.114.97.3,cloudflare,ClearFake
s9fsvyxk.seresniki.com,188.114.96.3,cloudflare,ClearFake
4dfx0u7r.stgsolar.hu,172.67.137.163,cloudflare,ClearFake
visszateritok.hu,185.158.133.1,cloudflare,ClearFake
7orku7ut.taxrundo.sk,104.21.87.174,cloudflare,ClearFake
2718gc20.seresniki.com,188.114.97.3,cloudflare,ClearFake
g6zaqd6k.schleer.hu,188.114.96.3,cloudflare,ClearFake
2vmkhs7s.riherino.com,188.114.97.3,cloudflare,ClearFake
p5f6dr8y.padelconstruct.hu,172.67.154.209,cloudflare,ClearFake
kb2lqx8d.schleer.hu,188.114.96.3,cloudflare,ClearFake
lpo88ruu.seresniki.com,188.114.97.3,cloudflare,ClearFake
5mk6bgje.stgsolar.hu,188.114.97.3,cloudflare,ClearFake
gec56eyc.pczrt.hu,,,ClearFake
2c5gt5bd.seresniki.com,188.114.97.3,cloudflare,ClearFake
arop4gtf.jetbt6.online,,,ClearFake
apple.support-page-1519.com,172.67.207.62,cloudflare,ClickFix WebAssembly
8jkjxf31.jetbt7.online,,,ClearFake
spamgym.asia,172.67.197.145,cloudflare,ClickFix WebDAV
spamgym.asia,172.67.197.145,cloudflare,ClickFix WebDAV
b53jdkck.photoshopvn.net,188.114.96.3,cloudflare,ClearFake
45cbh9h6.liketudong.biz,188.114.96.3,cloudflare,ClearFake
fxxqmo5b.letrungkien.info,188.114.96.3,cloudflare,ClearFake
ouqk5pur.dvfb-vn.com,188.114.96.3,cloudflare,ClearFake
x2jjzvnd.dichvuff.com,188.114.97.3,cloudflare,ClearFake
e0vt7hv0.saostar.biz,104.21.25.160,cloudflare,ClearFake
81729sv5.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
pbm280yc.sieulike.biz,188.114.97.3,cloudflare,ClearFake
gzxrgq4a.saostar.biz,172.67.134.94,cloudflare,ClearFake
sybxhd9s.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
t5kfgfm1.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
cr9i8up3.stgsolar.hu,188.114.97.3,cloudflare,ClearFake
avjquzsd.seresniki.com,104.21.85.141,cloudflare,ClearFake
dsc8ybog.schleer.hu,188.114.97.3,cloudflare,ClearFake
nblvwres.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
xqorxfh1.seresniki.com,188.114.97.3,cloudflare,ClearFake
nwtca6gs.schleer.hu,188.114.96.3,cloudflare,ClearFake
2c5gt5bd.seresniki.com,188.114.96.3,cloudflare,ClearFake
gec56eyc.pczrt.hu,,,ClearFake
5mk6bgje.stgsolar.hu,172.67.137.163,cloudflare,ClearFake
lpo88ruu.seresniki.com,104.21.85.141,cloudflare,ClearFake
kb2lqx8d.schleer.hu,172.67.151.100,cloudflare,ClearFake
p5f6dr8y.padelconstruct.hu,172.67.154.209,cloudflare,ClearFake
2vmkhs7s.riherino.com,188.114.97.3,cloudflare,ClearFake
g6zaqd6k.schleer.hu,188.114.97.3,cloudflare,ClearFake
2718gc20.seresniki.com,188.114.96.3,cloudflare,ClearFake
7orku7ut.taxrundo.sk,2606:4700:3031::6815:57ae,cloudflare,ClearFake
visszateritok.hu,185.158.133.1,cloudflare,ClearFake
4dfx0u7r.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
s9fsvyxk.seresniki.com,188.114.96.3,cloudflare,ClearFake
h89kbhtt.schleer.hu,104.21.72.149,cloudflare,ClearFake
rwxe9b0g.riherino.com,188.114.96.3,cloudflare,ClearFake
it-irrigation-control-network.garden,172.67.211.151,cloudflare,ClickFix WebDAV
rurhmgw2.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
sax166rh.funkboi.com,104.21.84.82,cloudflare,ClearFake
www.dsf435g.christmas,N/A,cloudflare,New WebDAV
www.koulnvl.christmas,N/A,cloudflare,New WebDAV
tlr73hr0.abcdbro.com,172.67.206.180,cloudflare,ClearFake
509ukk9c.enf90.vip,172.67.169.69,cloudflare,ClearFake
techapiguard.co,104.21.62.227,cloudflare,ClickFix WebDAV
glokchapigui.co,104.21.55.70,cloudflare,ClickFix WebDAV
impur-treacheryperepelitsa.wiki,188.114.96.3,cloudflare,ClickFix WebDAV
gardenworkflowhub.garden,188.114.96.3,cloudflare,ClickFix WebDAV
spamgym.asia,104.21.52.93,cloudflare,ClickFix WebDAV
subterranean-mineral-map.garden,188.114.97.3,cloudflare,ClickFix WebDAV
y4h1lqu6.jadoou.lat,104.21.44.205,cloudflare,ClearFake
www.vcb564fdh.christmas,N/A,cloudflare,New WebDAV
www.bvn56fg.christmas,N/A,cloudflare,New WebDAV
www.cvb45rg.christmas,N/A,cloudflare,New WebDAV
www.hgfcv8765.christmas,N/A,cloudflare,New WebDAV
sh6ze53a.bet90forward.win,104.21.95.112,cloudflare,ClearFake
olptz5o4.jadoou.beauty,104.21.66.137,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
qhy0wolx.casinomhub.bet,188.114.97.3,cloudflare,ClearFake
y4h1lqu6.jadoou.lat,172.67.203.175,cloudflare,ClearFake
impur-treacheryperepelitsa.wiki,188.114.96.3,cloudflare,ClickFix WebDAV
gardenworkflowhub.garden,188.114.97.3,cloudflare,ClickFix WebDAV
spamgym.asia,172.67.197.145,cloudflare,ClickFix WebDAV
subterranean-mineral-map.garden,188.114.97.3,cloudflare,ClickFix WebDAV
brerohht.cocoricobeachbar.com,104.21.13.207,cloudflare,ClearFake
emsj32em.roundtheclockcare.net,172.67.176.111,cloudflare,ClearFake
vj7eaayr.fa1xbet.vip,,,ClearFake
spamgym.asia,104.21.52.93,cloudflare,ClickFix WebDAV
zpqndvkxrm.tcdbb.christmas,N/A,cloudflare,New WebDAV
project-jetbrk03429.pages.dev,2606:4700:310c::ac42:2c53,cloudflare,ClickFix WebAssembly
vn3oxoji.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
it-irrigation-control-network.garden,104.21.53.94,cloudflare,ClickFix WebDAV
pr7b8geo.simply-bpo.me,172.67.132.196,cloudflare,ClearFake
spamgym.asia,104.21.52.93,cloudflare,ClickFix WebDAV
www.cxb456fg.christmas,N/A,cloudflare,New WebDAV
www.vcb325df.christmas,N/A,cloudflare,New WebDAV
hl8gdae9.kkslot777.asia,104.21.5.230,cloudflare,ClearFake
www.dsc324dsgf.christmas,N/A,cloudflare,New WebDAV
rct52dop.shop-lipogummy.com,188.114.96.3,cloudflare,ClearFake
www.cvbf56df.christmas,N/A,cloudflare,New WebDAV
www.xcb342d.christmas,N/A,cloudflare,New WebDAV
509ukk9c.enf90.vip,172.67.169.69,cloudflare,ClearFake
8yajh9kt.en-us--tupitea.com,104.21.53.53,cloudflare,ClearFake
fw84wqrf.nver.christmas,N/A,cloudflare,New WebDAV
xjbzuw15wda.nver.christmas,N/A,cloudflare,New WebDAV
zhyq5d4w.nver.christmas,N/A,cloudflare,New WebDAV
0mx8cbge.fa1xbet.vip,,,ClearFake
i0wrocb4.bet90forward.win,,,ClearFake
www.cvdf34dd.christmas,N/A,cloudflare,New WebDAV
www.gfhn435.christmas,N/A,cloudflare,New WebDAV
sh6ze53a.bet90forward.win,104.21.95.112,cloudflare,ClearFake
olptz5o4.jadoou.beauty,172.67.160.103,cloudflare,ClearFake
www.cvdf34d.christmas,N/A,cloudflare,New WebDAV
www.cxvb3fs.christmas,N/A,cloudflare,New WebDAV
sh6ze53a.bet90forward.win,172.67.144.166,cloudflare,ClearFake
b7tibc5u.luxerabet1000.com,104.21.42.49,cloudflare,ClearFake
olptz5o4.jadoou.beauty,188.114.96.3,cloudflare,ClearFake
iiamtrbo.liketudong.biz,172.67.203.240,cloudflare,ClearFake
4dfx0u7r.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
rwxe9b0g.riherino.com,172.67.134.93,cloudflare,ClearFake
5ufm19dl.pdfbama.com,188.114.97.3,cloudflare,ClearFake
gac8up0t.thetokestudio.com,188.114.97.3,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,188.114.97.3,cloudflare,ClearFake
bjf54ffm.behtarin-site-shartbandi.com,104.21.71.12,cloudflare,ClearFake
qhy0wolx.casinomhub.bet,188.114.97.3,cloudflare,ClearFake
7g5swyfn.bazipoop.com,104.21.26.116,cloudflare,ClearFake
b53jdkck.photoshopvn.net,188.114.97.3,cloudflare,ClearFake
sax166rh.funkboi.com,104.21.84.82,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,188.114.97.3,cloudflare,ClearFake
www.bvn45fg.christmas,N/A,cloudflare,New WebDAV
www.cvf5dsdf.christmas,N/A,cloudflare,New WebDAV
qhy0wolx.casinomhub.bet,188.114.97.3,cloudflare,ClearFake
www.cxvd45fd.christmas,N/A,cloudflare,New WebDAV
tafhu17n.nextbahis.blog,188.114.97.3,cloudflare,ClearFake
tafhu17n.nextbahis.blog,188.114.96.3,cloudflare,ClearFake
fvidq4p8.kaltourusa.com,104.21.2.188,cloudflare,ClearFake
3cqx4k4v.kaltourusa.com,172.67.129.144,cloudflare,ClearFake
q486u4hr.kaltourusa.com,104.21.2.188,cloudflare,ClearFake
509ukk9c.enf90.vip,172.67.169.69,cloudflare,ClearFake
tld44yiu.jennyrussianbluepalace.com,188.114.96.3,cloudflare,ClearFake
mlmaatvd.behtarin-site-shartbandi.com,172.67.168.250,cloudflare,ClearFake
hdz7omr1.nextbahis.blog,188.114.97.3,cloudflare,ClearFake
p43qsij4.nextbahis.one,188.114.97.3,cloudflare,ClearFake
impur-treacheryperepelitsa.wiki,188.114.97.3,cloudflare,ClickFix WebDAV
gardenworkflowhub.garden,188.114.96.3,cloudflare,ClickFix WebDAV
spamgym.asia,172.67.197.145,cloudflare,ClickFix WebDAV
subterranean-mineral-map.garden,,,ClickFix WebDAV
g1wgxqj5.nextbahis.one,172.67.155.226,cloudflare,ClearFake
p43qsij4.nextbahis.one,188.114.96.3,cloudflare,ClearFake
impur-treacheryperepelitsa.wiki,188.114.96.3,cloudflare,ClickFix WebDAV
gardenworkflowhub.garden,104.21.95.155,cloudflare,ClickFix WebDAV
spamgym.asia,172.67.197.145,cloudflare,ClickFix WebDAV
subterranean-mineral-map.garden,188.114.97.3,cloudflare,ClickFix WebDAV
cr9i8up3.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
g9epkl53.site-asli-bedon-filter-1xbet.com,104.21.22.42,cloudflare,ClearFake
2718gc20.seresniki.com,188.114.97.3,cloudflare,ClearFake
7apd7ite.everestpointnorthglenn.org,188.114.96.3,cloudflare,ClearFake
7wzfqmf9.behtarin-site-shartbandi.com,172.67.168.250,cloudflare,ClearFake
r2qz0qa2.poker-online.bet,,,ClearFake
7wzfqmf9.behtarin-site-shartbandi.com,104.21.71.12,cloudflare,ClearFake
1s3hqwvr.varzeshlife.ir,188.114.97.3,cloudflare,ClearFake
1s3hqwvr.varzeshlife.ir,188.114.97.3,cloudflare,ClearFake
iahg2idr.evansunitedspringcarnivalsherman.com,172.67.136.34,cloudflare,ClearFake
ewyjl357.flashhomebuyerskc.com,104.21.29.172,cloudflare,ClearFake
1s3hqwvr.varzeshlife.ir,188.114.96.3,cloudflare,ClearFake
1s3hqwvr.varzeshlife.ir,188.114.97.3,cloudflare,ClearFake
iahg2idr.evansunitedspringcarnivalsherman.com,104.21.78.174,cloudflare,ClearFake
ewyjl357.flashhomebuyerskc.com,104.21.29.172,cloudflare,ClearFake
w8sxay63.varzeshlife.ir,188.114.96.3,cloudflare,ClearFake
1s3hqwvr.varzeshlife.ir,188.114.97.3,cloudflare,ClearFake
iahg2idr.evansunitedspringcarnivalsherman.com,172.67.136.34,cloudflare,ClearFake
ewyjl357.flashhomebuyerskc.com,104.21.29.172,cloudflare,ClearFake
luy6lvmh.site-takhtenard-sharti-betland.com,172.67.193.84,cloudflare,ClearFake
iahg2idr.evansunitedspringcarnivalsherman.com,104.21.78.174,cloudflare,ClearFake
ewyjl357.flashhomebuyerskc.com,172.67.149.140,cloudflare,ClearFake
ewyjl357.flashhomebuyerskc.com,104.21.29.172,cloudflare,ClearFake
iahg2idr.evansunitedspringcarnivalsherman.com,104.21.78.174,cloudflare,ClearFake
luy6lvmh.site-takhtenard-sharti-betland.com,104.21.84.133,cloudflare,ClearFake
luy6lvmh.site-takhtenard-sharti-betland.com,104.21.84.133,cloudflare,ClearFake
yeo0jmkq.kimsnailsalonmadison.com,172.67.203.16,cloudflare,ClearFake
yeo0jmkq.kimsnailsalonmadison.com,104.21.85.66,cloudflare,ClearFake
yeo0jmkq.kimsnailsalonmadison.com,104.21.85.66,cloudflare,ClearFake
2gfxwchj.emeraldualzone.com,188.114.96.3,cloudflare,ClearFake
qaqatrf8.dermatologycongress.org,188.114.96.3,cloudflare,ClearFake
yeo0jmkq.kimsnailsalonmadison.com,172.67.203.16,cloudflare,ClearFake
qhy0wolx.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
h51ee0ex.emeraldualzone.com,188.114.96.3,cloudflare,ClearFake
dwvygj31.dermatologycongress.org,188.114.97.3,cloudflare,ClearFake
4gfsvs7l.jennyrussianbluepalace.com,188.114.97.3,cloudflare,ClearFake
h51ee0ex.emeraldualzone.com,104.21.92.64,cloudflare,ClearFake
dwvygj31.dermatologycongress.org,188.114.96.3,cloudflare,ClearFake
4gfsvs7l.jennyrussianbluepalace.com,188.114.96.3,cloudflare,ClearFake
h51ee0ex.emeraldualzone.com,188.114.96.3,cloudflare,ClearFake
dwvygj31.dermatologycongress.org,188.114.96.3,cloudflare,ClearFake
4gfsvs7l.jennyrussianbluepalace.com,188.114.97.3,cloudflare,ClearFake
h51ee0ex.emeraldualzone.com,188.114.96.3,cloudflare,ClearFake
dwvygj31.dermatologycongress.org,188.114.96.3,cloudflare,ClearFake
4gfsvs7l.jennyrussianbluepalace.com,188.114.96.3,cloudflare,ClearFake
h51ee0ex.emeraldualzone.com,188.114.97.3,cloudflare,ClearFake
dwvygj31.dermatologycongress.org,188.114.97.3,cloudflare,ClearFake
xgu7k53h.economywindowsparts.com,188.114.96.3,cloudflare,ClearFake
ea168jci.customhomebuildersplainfield.com,188.114.97.3,cloudflare,ClearFake
ttvsj7o9.jdexteriorcleaning.com,104.21.16.69,cloudflare,ClearFake
z52rumys.customhomebuildersplainfield.com,188.114.97.3,cloudflare,ClearFake
47ytdzjs.economywindowsparts.com,188.114.96.3,cloudflare,ClearFake
ttvsj7o9.jdexteriorcleaning.com,172.67.166.226,cloudflare,ClearFake
z52rumys.customhomebuildersplainfield.com,,,ClearFake
47ytdzjs.economywindowsparts.com,188.114.96.3,cloudflare,ClearFake
47ytdzjs.economywindowsparts.com,188.114.97.3,cloudflare,ClearFake
z52rumys.customhomebuildersplainfield.com,188.114.96.3,cloudflare,ClearFake
jnhygwu4.gulfbreezervrentals.com,188.114.97.3,cloudflare,ClearFake
jnhygwu4.gulfbreezervrentals.com,188.114.96.3,cloudflare,ClearFake
jnhygwu4.gulfbreezervrentals.com,188.114.97.3,cloudflare,ClearFake
2zm9lhlg.groeschelcompany.com,172.67.185.198,cloudflare,ClearFake
z52rumys.customhomebuildersplainfield.com,104.21.17.53,cloudflare,ClearFake
47ytdzjs.economywindowsparts.com,104.21.33.108,cloudflare,ClearFake
47ytdzjs.economywindowsparts.com,188.114.96.3,cloudflare,ClearFake
z52rumys.customhomebuildersplainfield.com,188.114.96.3,cloudflare,ClearFake
2zm9lhlg.groeschelcompany.com,104.21.88.155,cloudflare,ClearFake
lhkq7d5d.estrelamardedetizadora.com,172.67.201.26,cloudflare,ClearFake
0u9irsk6.luxerabet10.com,172.67.131.108,cloudflare,ClearFake
2zm9lhlg.groeschelcompany.com,104.21.88.155,cloudflare,ClearFake
2zm9lhlg.groeschelcompany.com,104.21.88.155,cloudflare,ClearFake
pjjuosk1.fredcoplumbingpros.com,172.67.193.24,cloudflare,ClearFake
uaycwz4b.nextbahis.blog,188.114.96.3,cloudflare,ClearFake
pjjuosk1.fredcoplumbingpros.com,104.21.60.67,cloudflare,ClearFake
bhrbc90m.fredcoplumbingpros.com,104.21.60.67,cloudflare,ClearFake
hag0wqv7.estrelamardedetizadora.com,172.67.201.26,cloudflare,ClearFake
a6du2gsx.fit2leadconference.com,,,ClearFake
hag0wqv7.estrelamardedetizadora.com,104.21.66.46,cloudflare,ClearFake
a6du2gsx.fit2leadconference.com,172.67.140.242,cloudflare,ClearFake
bcmej6hr.goodlifelakerentals.com,104.21.0.131,cloudflare,ClearFake
impur-treacheryperepelitsa.wiki,188.114.96.3,cloudflare,ClickFix WebDAV
bcmej6hr.goodlifelakerentals.com,104.21.0.131,cloudflare,ClearFake
a6du2gsx.fit2leadconference.com,172.67.140.242,cloudflare,ClearFake
hag0wqv7.estrelamardedetizadora.com,104.21.66.46,cloudflare,ClearFake
bcmej6hr.goodlifelakerentals.com,104.21.0.131,cloudflare,ClearFake
hag0wqv7.estrelamardedetizadora.com,172.67.201.26,cloudflare,ClearFake
a6du2gsx.fit2leadconference.com,104.21.27.28,cloudflare,ClearFake
yiek34fp.behtarin-site-shartbandi.com,172.67.168.250,cloudflare,ClearFake
01ejjpa2.behtarin-site-shartbandi.com,172.67.168.250,cloudflare,ClearFake
